country,income_inequality,trust,life_expectancy,infant_mortality,obesity,mental_illness,maths_and_literacy_scores,teenage_births,homicides,imprisonment_log,social_mobility,index_of_health_social_problems,child_overweight,drugs_index,calorie_intake,public_health_expenditure,child_wellbeing,maths_education_science_score,child_conflict,foreign_aid,recycling,peace_index,maternity_leave,advertising,police,social_expenditure,womens_status,lone_parents
Australia,7,39.900001525878906,79.19999694824219,4.9,18.350000381469727,23,524.5,18.399999618530273,16.900001525878906,4.605170249938965,NA,0.0651705339550972,NA,1.7073915004730225,3142,67.9,-0.21469922363758087,524.66668701171875,NA,0.25,7.400000095367432,1.6640000343322754,0,1.2400000095367432,304,17.8,0.45711344480514526,21
Austria,4.824999809265137,33.900001525878906,78.5,4.8,14.5,NA,498.5,14,11.59999942779541,4.521788597106934,NA,0.01002139039337635,11.899999618530273,-0.01819819025695324,3753,69.3,-0.06789807975292206,496,0.30867987871170044,0.5199999809265137,NA,1.4830000400543213,16,0.9700000286102295,305,27.5,-0.808023989200592,15
Belgium,4.599999904632568,30.700000762939453,78.80000305175781,5,13.5,12,518,9.899999618530273,13,4.276666164398193,NA,-0.23329764604568481,10.399999618530273,-0.17783601582050323,3632,71.7,0.04703067988157272,515,0.3286031484603882,0.5299999713897705,NA,1.4930000305175781,15,0.8199999928474426,357,26.5,0.606403648853302,12
Canada,5.625,38.79999923706055,79.30000305175781,5.3,12.75,19.899999618530273,530,20.200000762939453,17.299999237060547,4.770684719085693,0.14300000667572021,-0.07068738341331482,19.5,0.6068214774131775,3167,70.8,0.0395214669406414,526.33331298828125,0.23735260963439941,0.3400000035762787,NA,1.4809999465942383,17,0.7699999809265137,186,17.2,0.5629064440727234,17
Denmark,4.300000190734863,66.5,76.5999984741211,5.3,15,NA,503,8.100000381469727,12.699999809265137,4.174387454986572,0.14300000667572021,-0.18827877938747406,10.300000190734863,-0.09479036927223206,3405,82.4,0.2139909863471985,493.6666564941406,-0.13726237416267395,0.8100000023841858,NA,1.3769999742507935,18,0.75,192,27.6,0.8269319534301758,22
Finland,3.7249999046325684,58,78,3.7,19.5,NA,543.5,9.199999809265137,28.19999885559082,4.110873699188232,0.1469999998807907,-0.4330216944217682,13.300000190734863,-0.8758533000946045,3197,75.6,0.33909520506858826,545,-1.2473481893539429,0.4699999988079071,NA,1.4470000267028809,18,0.8999999761581421,160,25.8,1.0843453407287598,19
France,5.599999904632568,22.200000762939453,79,4.4,14.5,18.399999618530273,503.5,9.300000190734863,21.5,4.499809741973877,NA,0.05082441121339798,11.199999809265137,-0.3500324785709381,3576,76,-0.17071177065372467,506,0.5937328338623047,0.4699999988079071,6,1.7289999723434448,16,0.7099999785423279,NA,29,-0.1699213832616806,12
Germany,5.200000286102295,34.79999923706055,78.30000305175781,4.4,19,9.100000381469727,497,13.100000381469727,13.699999809265137,4.510859489440918,0.17100000381469727,-0.06461275368928909,11.300000190734863,-0.3000006079673767,3395,74.9,-0.012379199266433716,498.6666564941406,-0.6982982158660889,0.3499999940395355,3.4000000953674316,1.5230000019073486,14,0.9900000095367432,303,27.3,-0.21131132543087006,21
Greece,6.199999809265137,23.700000762939453,78.30000305175781,5,28.5,NA,458.5,11.800000190734863,13.899999618530273,3.332204580307007,NA,0.37966832518577576,16,-0.9865278005599976,3687,56,-0.041193559765815735,466,0.39708447456359863,0.23999999463558197,NA,1.7910000085830688,17,1.0399999618530273,NA,19.9,-0.8455565571784973,3
Ireland,6.050000190734863,35.20000076293945,77,5.9,18,NA,509,18.700000762939453,8.600000381469727,4.174387454986572,NA,0.25444769859313965,12.100000381469727,-0.028815681114792824,3656,76,-0.03931625932455063,507.6666564941406,-0.056519582867622375,0.4099999964237213,NA,1.3960000276565552,18,1,NA,15.8,-0.21114079654216766,14
Israel,6.775000095367432,23.5,79.19999694824219,5.5,NA,NA,442.5,NA,25.399999618530273,5.176149845123291,NA,NA,11.300000190734863,-0.1729559749364853,NA,69.2,-0.5603054165840149,439.6000061035156,0.43067580461502075,NA,NA,3.0329999923706055,NA,1.0800000429153442,NA,NA,-0.2399863302707672,8
Italy,6.650000095367432,32.599998474121094,78.69999694824219,4.6,9.699999809265137,8.199999809265137,471,6.599999904632568,19.899999618530273,4.418840408325195,NA,-0.11584015190601349,15.199999809265137,0.49912744760513306,3637,75.3,0.0417509526014328,476,0.2678842842578888,0.28999999165534973,7.400000095367432,1.7239999771118164,20,0.699999988079071,559,24.4,-1.4205403327941895,10
Japan,3.4000000953674316,43.099998474121094,81.5999984741211,3.2,2.4000000953674316,8.800000190734863,516,4.599999904632568,5.199999809265137,3.6888794898986816,NA,-1.256173014640808,NA,-1.266154170036316,2767,77.9,-0.24267852306365967,526.66668701171875,NA,0.2800000011920929,2.5999999046325684,1.4129999876022339,14,0.8100000023841858,182,18.1,-0.6631360054016113,8
Netherlands,5.300000190734863,59.79999923706055,78.30000305175781,4.6,11,14.899999618530273,525.5,6.199999809265137,14.5,4.219507694244385,NA,-0.5095565915107727,7.599999904632568,-0.11578574031591415,3230,63.3,0.43452608585357666,525,-0.352085143327713,0.8199999928474426,NA,1.6200000047683716,16,0.9800000190734863,212,21.2,0.28415215015411377,13
New Zealand,6.800000190734863,49.099998474121094,78.30000305175781,6,16.5,20.700000762939453,522.5,29.799999237060547,12.300000190734863,4.969813346862793,NA,0.2911548614501953,NA,1.0285229682922363,3242,76.8,-0.6764650344848633,522,NA,0.27000001072883606,NA,1.3630000352859497,12,1.340000033378601,182,18.2,0.36076614260673523,29
Norway,3.8500001430511475,65.30000305175781,78.9000015258789,3.8,11.5,NA,497.5,12.399999618530273,9.700000762939453,3.9512436389923096,0.13899999856948853,-0.6331430077552795,11.800000190734863,-0.30288368463516235,3391,85.5,0.2615336775779724,493,-0.22501002252101898,0.9300000071525574,NA,1.3569999933242798,52,0.699999988079071,NA,24.5,1.110037088394165,19
Portugal,8,10,76.19999694824219,6,17.5,NA,472,21.200000762939453,34.599998474121094,4.795790672302246,NA,1.180293321609497,14.300000190734863,-0.43975409865379333,3710,69,-0.09005628526210785,470.6666564941406,0.15915659070014954,0.20999999344348907,7.599999904632568,1.4809999465942383,6,1.1699999570846558,450,22.9,-0.6434764266014099,13
Singapore,9.699999809265137,16.899999618530273,78.0999984741211,2.9,NA,NA,NA,NA,15.5,5.713732719421387,NA,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,1.6920000314712524,NA,0.9399999976158142,NA,NA,-0.8564497828483582,NA
Spain,5.550000190734863,36.20000076293945,79.30000305175781,4.1,12,9.199999809265137,483,7.900000095367432,8.100000381469727,4.744932174682617,NA,-0.30427706241607666,16.899999618530273,0.48045864701271057,3360,71.4,0.19562983512878418,484.3333435058594,0.2297825664281845,0.28999999165534973,8.399999618530273,1.6330000162124634,16,0.8999999761581421,NA,21,-0.09956708550453186,9
Sweden,3.950000047683716,66.30000305175781,80.0999984741211,3.2,11,NA,511.5,6.5,18.700000762939453,4.158883094787598,0.14300000667572021,-0.8340697884559631,10.399999618530273,-1.0493419170379639,3138,85.2,0.5108687877655029,509.6666564941406,-1.170920729637146,0.9200000166893005,2.5999999046325684,1.4780000448226929,72,0.8199999928474426,181,30.3,1.4732990264892578,18
Switzerland,5.725000381469727,41,79.0999984741211,4.9,5.5,NA,513,5.5,12.699999809265137,4.418840408325195,NA,-0.4551156163215637,8.5,0.19307243824005127,3268,57.1,0.24930569529533386,513,-0.49140042066574097,0.4399999976158142,3.4000000953674316,1.5260000228881836,16,1.0700000524520874,204,20.3,-0.4072253704071045,NA
UK,7.174999713897705,29.799999237060547,78.19999694824219,5.6,22.25,23,NA,30.799999237060547,15,4.820281505584717,0.2709999978542328,0.7885631322860718,15.800000190734863,1.0231209993362427,3336,82.2,-0.8425950407981873,NA,1.38738214969635,0.47999998927116394,8.800000190734863,1.8980000019073486,18,1.3200000524520874,258,20.5,-0.17289294302463531,29
USA,8.549999237060547,35.79999923706055,77.0999984741211,6.9,30.850000381469727,26.399999618530273,489,52.099998474121094,64,6.356107711791992,0.289000004529953,2.0205984115600586,25.100000381469727,0.9835261702537537,3747,44.4,-0.49550947546958923,489.6666564941406,0.45866623520851135,0.2199999988079071,8.399999618530273,2.316999912261963,0,1.3300000429153442,326,16.2,-0.03676065802574158,29
